Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Wii Sports,Wii,2006,Sports,Nintendo,41-42,28-29,3-4,8-9,82-83,75-76,50-51,8.0,0-500,Nintendo,E
Super Mario Bros.,NES,1985,Platform,Nintendo,29-30,3-4,6-7,0-1,40-41,,,,,,
Mario Kart Wii,Wii,2008,Racing,Nintendo,15-16,12-13,3-4,3-4,35-36,81-82,72-73,8.0,500-1000,Nintendo,E
Wii Sports Resort,Wii,2009,Sports,Nintendo,15-16,10-11,3-4,2-3,32-33,79-80,72-73,8.0,0-500,Nintendo,E
Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,11-12,8-9,10-11,0-1,31-32,,,,,,
Tetris,GB,1989,Puzzle,Nintendo,23-24,2-3,4-5,0-1,30-31,,,,,,
New Super Mario Bros.,DS,2006,Platform,Nintendo,11-12,9-10,6-7,2-3,29-30,88-89,64-65,8.0,0-500,Nintendo,E
Wii Play,Wii,2006,Misc,Nintendo,13-14,9-10,2-3,2-3,28-29,57-58,40-41,7.0,0-500,Nintendo,E
New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,14-15,6-7,4-5,2-3,28-29,86-87,79-80,8.0,500-1000,Nintendo,E
Duck Hunt,NES,1984,Shooter,Nintendo,26-27,0-1,0-1,0-1,28-29,,,,,,
Nintendogs,DS,2005,Simulation,Nintendo,9-10,10-11,1-2,2-3,24-25,,,,,,
Mario Kart DS,DS,2005,Racing,Nintendo,9-10,7-8,4-5,1-2,23-24,90-91,63-64,9.0,0-500,Nintendo,E
Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,8-9,6-7,7-8,0-1,23-24,,,,,,
Wii Fit,Wii,2007,Sports,Nintendo,8-9,8-9,3-4,2-3,22-23,79-80,62-63,8.0,0-500,Nintendo,E
Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,14-15,4-5,0-1,1-2,21-22,60-61,44-45,6.0,0-500,Good Science Studio,E
Wii Fit Plus,Wii,2009,Sports,Nintendo,9-10,8-9,2-3,1-2,21-22,79-80,32-33,7.0,0-500,Nintendo,E
Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,7-8,9-10,0-1,3-4,21-22,96-97,49-50,8.0,3500-4000,Rockstar North,M
Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,9-10,0-1,0-1,10-11,20-21,94-95,79-80,9.0,1500-2000,Rockstar North,M
Super Mario World,SNES,1990,Platform,Nintendo,12-13,3-4,3-4,0-1,20-21,,,,,,
Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,4-5,9-10,4-5,2-3,20-21,76-77,57-58,8.0,0-500,Nintendo,E
Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,6-7,4-5,6-7,1-2,18-19,,,,,,
Super Mario Land,GB,1989,Platform,Nintendo,10-11,2-3,4-5,0-1,18-19,,,,,,
Super Mario Bros. 3,NES,1988,Platform,Nintendo,9-10,3-4,3-4,0-1,17-18,,,,,,
Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,9-10,5-6,0-1,1-2,16-17,96-97,57-58,8.0,3500-4000,Rockstar North,M
Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,8-9,5-6,0-1,1-2,16-17,94-95,61-62,9.0,500-1000,Rockstar North,M
Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,6-7,3-4,5-6,0-1,15-16,,,,,,
Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,3-4,5-6,5-6,1-2,15-16,76-77,36-37,7.0,0-500,Nintendo,E
Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo,5-6,3-4,5-6,0-1,15-16,,,,,,
Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,6-7,5-6,1-2,1-2,14-15,94-95,53-54,8.0,0-500,Polyphony Digital,E
Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,9-10,4-5,0-1,1-2,14-15,87-88,80-81,3.0,8500-9000,"Infinity Ward, Sledgehammer Games",M
Pokémon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo,5-6,5-6,3-4,0-1,14-15,,,,,,
Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,6-7,5-6,0-1,2-3,14-15,,,,,,
Call of Duty: Black Ops,X360,2010,Shooter,Activision,9-10,3-4,0-1,1-2,14-15,86-87,88-89,6.0,1000-1500,Treyarch,M
Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,5-6,4-5,4-5,0-1,14-15,,,,,,
Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,4-5,5-6,0-1,2-3,13-14,82-83,20-21,5.0,500-1000,Treyarch,M
Call of Duty: Black Ops II,X360,2012,Shooter,Activision,8-9,4-5,0-1,1-2,13-14,82-83,72-73,5.0,2000-2500,Treyarch,M
Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,8-9,3-4,0-1,1-2,13-14,93-94,99-100,6.0,2500-3000,Infinity Ward,M
Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,5-6,5-6,0-1,1-2,13-14,87-88,38-39,3.0,5000-5500,"Infinity Ward, Sledgehammer Games",M
Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,6-7,4-5,0-1,1-2,13-14,96-97,55-56,8.0,500-1000,DMA Design,M
Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,6-7,2-3,2-3,1-2,12-13,92-93,80-81,9.0,1500-2000,Game Arts,T
Mario Kart 7,3DS,2011,Racing,Nintendo,5-6,4-5,2-3,0-1,12-13,84-85,72-73,8.0,500-1000,"Retro Studios, Entertainment Analysis & Development Division",E
Call of Duty: Black Ops,PS3,2010,Shooter,Activision,5-6,4-5,0-1,1-2,12-13,87-88,57-58,6.0,1000-1500,Treyarch,M
Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,3-4,6-7,0-1,1-2,12-13,96-97,65-66,8.0,2500-3000,Rockstar North,M
Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,2-3,3-4,5-6,0-1,12-13,85-86,56-57,9.0,0-500,Nintendo,E
Halo 3,X360,2007,Shooter,Microsoft Game Studios,7-8,2-3,0-1,1-2,12-13,93-94,85-86,8.0,4000-4500,"Bungie Software, Bungie",M
Super Mario 64,N64,1996,Platform,Nintendo,6-7,2-3,1-2,0-1,11-12,,,,,,
Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,Nintendo,4-5,2-3,3-4,0-1,11-12,,,,,,
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,4-5,3-4,3-4,0-1,11-12,,,,,,
Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,3-4,0-1,1-2,7-8,11-12,88-89,73-74,8.0,0-500,Polyphony Digital,E
Super Mario Galaxy,Wii,2007,Platform,Nintendo,6-7,3-4,1-2,0-1,11-12,96-97,72-73,9.0,2000-2500,Nintendo,E
Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,6-7,2-3,2-3,0-1,11-12,,,,,,
Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,6-7,3-4,0-1,1-2,11-12,97-98,85-86,8.0,2500-3000,Rockstar North,M
Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,4-5,3-4,2-3,0-1,10-11,95-96,15-16,9.0,0-500,Polyphony Digital,E
Super Mario 3D Land,3DS,2011,Platform,Nintendo,4-5,2-3,2-3,0-1,10-11,89-90,81-82,8.0,500-1000,Nintendo,E
Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,2-3,4-5,0-1,2-3,10-11,83-84,81-82,8.0,1000-1500,Polyphony Digital,E
Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,4-5,3-4,0-1,1-2,10-11,93-94,66-67,6.0,2000-2500,Infinity Ward,M
Super Mario All-Stars,SNES,1993,Platform,Nintendo,5-6,2-3,2-3,0-1,10-11,,,,,,
Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,4-5,3-4,0-1,1-2,10-11,97-98,63-64,8.0,2500-3000,Rockstar North,M
Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo,4-5,2-3,3-4,0-1,10-11,,,,,,
Super Mario 64,DS,2004,Platform,Nintendo,5-6,3-4,1-2,0-1,10-11,,,,,,
Call of Duty: Ghosts,X360,2013,Shooter,Activision,6-7,2-3,0-1,0-1,10-11,72-73,28-29,3.0,2000-2500,Infinity Ward,M
Just Dance 3,Wii,2011,Misc,Ubisoft,5-6,3-4,0-1,1-2,10-11,73-74,14-15,8.0,0-500,Ubisoft,E10+
New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,3-4,3-4,2-3,0-1,9-10,77-78,69-70,7.0,0-500,Nintendo,E
Mario Kart 64,N64,1996,Racing,Nintendo,5-6,1-2,2-3,0-1,9-10,,,,,,
Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,7-8,1-2,0-1,0-1,9-10,90-91,98-99,8.0,2000-2500,Bungie,M
Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,3-4,2-3,3-4,0-1,9-10,91-92,19-20,9.0,1000-1500,SquareSoft,T
Halo 4,X360,2012,Shooter,Microsoft Game Studios,6-7,2-3,0-1,0-1,9-10,86-87,86-87,7.0,3000-3500,343 Industries,M
Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,3-4,3-4,1-2,0-1,9-10,92-93,22-23,9.0,0-500,Polyphony Digital,T
Just Dance 2,Wii,2010,Misc,Ubisoft,5-6,2-3,0-1,0-1,9-10,73-74,23-24,7.0,0-500,Ubisoft,E10+
Call of Duty: Ghosts,PS3,2013,Shooter,Activision,4-5,3-4,0-1,1-2,9-10,70-71,9-10,3.0,1000-1500,Infinity Ward,M
Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,5-6,2-3,0-1,0-1,9-10,93-94,69-70,8.0,1000-1500,Infinity Ward,M
Donkey Kong Country,SNES,1994,Platform,Nintendo,4-5,1-2,2-3,0-1,9-10,,,,,,
Minecraft,X360,2013,Misc,Microsoft Game Studios,5-6,2-3,0-1,0-1,9-10,,,,,,
Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,2-3,2-3,4-5,0-1,9-10,87-88,69-70,9.0,500-1000,Nintendo,E
Mario Party DS,DS,2007,Misc,Nintendo,4-5,1-2,1-2,0-1,8-9,71-72,26-27,8.0,0-500,Hudson Soft,E
The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,5-6,2-3,0-1,0-1,8-9,95-96,88-89,8.0,3500-4000,Bethesda Game Studios,M
Super Mario Kart,SNES,1992,Racing,Nintendo,3-4,1-2,3-4,0-1,8-9,,,,,,
FIFA 16,PS4,2015,Sports,Electronic Arts,1-2,6-7,0-1,1-2,8-9,81-82,41-42,4.0,500-1000,EA Sports,E
Halo 2,XB,2004,Shooter,Microsoft Game Studios,6-7,1-2,0-1,0-1,8-9,94-95,90-91,8.0,1000-1500,Bungie Software,M
Wii Party,Wii,2010,Misc,Nintendo,1-2,3-4,2-3,0-1,8-9,67-68,41-42,7.0,0-500,Nd Cube,E
Mario Party 8,Wii,2007,Misc,Nintendo,3-4,2-3,1-2,0-1,8-9,61-62,40-41,6.0,0-500,Hudson,E
FIFA Soccer 13,PS3,2012,Action,Electronic Arts,1-2,5-6,0-1,1-2,8-9,87-88,36-37,7.0,0-500,Electronic Arts,E
GoldenEye 007,N64,1997,Shooter,Nintendo,5-6,2-3,0-1,0-1,8-9,,,,,,
Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo,2-3,1-2,3-4,0-1,8-9,,,,,,
Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,2-3,2-3,2-3,0-1,8-9,91-92,52-53,9.0,1000-1500,SquareSoft,T
The Sims 3,PC,2009,Simulation,Electronic Arts,0-1,6-7,0-1,0-1,8-9,85-86,74-75,8.0,500-1000,The Sims Studio,T
Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,2-3,3-4,0-1,0-1,7-8,,,,,,
Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,2-3,3-4,0-1,1-2,7-8,,,,,,
Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,2-3,1-2,3-4,0-1,7-8,89-90,23-24,9.0,500-1000,SquareSoft,T
Pac-Man,2600,1982,Puzzle,Atari,7-8,0-1,0-1,0-1,7-8,,,,,,
Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo,2-3,1-2,2-3,0-1,7-8,82-83,45-46,8.0,0-500,Game Freak,E
Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,2-3,2-3,0-1,1-2,7-8,87-88,64-65,8.0,0-500,Rockstar Leeds,M
Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,2-3,3-4,0-1,1-2,7-8,82-83,38-39,6.0,1000-1500,Sledgehammer Games,M
The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,4-5,1-2,1-2,0-1,7-8,,,,,,
FIFA 17,PS4,2016,Sports,Electronic Arts,0-1,5-6,0-1,1-2,7-8,84-85,40-41,5.0,0-500,"EA Sports, EA Vancouver",E
Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment,3-4,2-3,1-2,0-1,7-8,,,,,,
Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo,3-4,1-2,2-3,0-1,7-8,,,,,,
Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,3-4,2-3,0-1,0-1,7-8,96-97,86-87,9.0,1500-2000,Nintendo EAD Tokyo,E
Super Mario Bros. 2,NES,1988,Platform,Nintendo,5-6,1-2,0-1,0-1,7-8,,,,,,
Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision,4-5,2-3,0-1,0-1,7-8,,,,,,
Call of Duty: World at War,X360,2008,Shooter,Activision,4-5,1-2,0-1,0-1,7-8,83-84,83-84,8.0,500-1000,Treyarch,M
Battlefield 3,X360,2011,Shooter,Electronic Arts,4-5,2-3,0-1,0-1,7-8,83-84,56-57,7.0,2000-2500,EA DICE,M
Need for Speed Underground,PS2,2003,Racing,Electronic Arts,3-4,2-3,0-1,1-2,7-8,84-85,32-33,9.0,0-500,EA Black Box,E
Just Dance,Wii,2009,Misc,Ubisoft,3-4,2-3,0-1,0-1,7-8,48-49,20-21,8.0,0-500,Ubisoft Paris,E10+
Battlefield 3,PS3,2011,Shooter,Electronic Arts,2-3,2-3,0-1,1-2,7-8,84-85,37-38,8.0,1500-2000,EA DICE,M
Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,2-3,3-4,0-1,1-2,7-8,86-87,57-58,6.0,4000-4500,Bethesda Game Studios,M
Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,3-4,2-3,1-2,0-1,7-8,95-96,14-15,9.0,0-500,Namco,T
The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,3-4,2-3,0-1,0-1,7-8,94-95,72-73,9.0,1500-2000,Nintendo,T
Pokemon Sun/Moon,3DS,2016,Role-Playing,Nintendo,2-3,1-2,2-3,0-1,7-8,,,,,,
Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,3-4,1-2,1-2,0-1,7-8,90-91,11-12,9.0,0-500,Naughty Dog,E
Mario Kart 8,WiiU,2014,Racing,Nintendo,3-4,2-3,1-2,0-1,7-8,87-88,81-82,9.0,1500-2000,Nintendo,E
Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,4-5,1-2,1-2,0-1,7-8,91-92,37-38,9.0,500-1000,HAL Labs,T
Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo,4-5,1-2,0-1,0-1,6-7,,,,,,
Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,2-3,3-4,0-1,1-2,6-7,81-82,38-39,9.0,0-500,EA Canada,E
Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,2-3,2-3,0-1,0-1,6-7,87-88,28-29,8.0,0-500,EA LA,T
Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment,3-4,2-3,0-1,0-1,6-7,,,,,,
Just Dance 4,Wii,2012,Misc,Ubisoft,4-5,2-3,0-1,0-1,6-7,73-74,9-10,7.0,0-500,Ubisoft,E10+
Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,4-5,1-2,0-1,0-1,6-7,92-93,89-90,8.0,2500-3000,Epic Games,M
Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,2-3,2-3,0-1,1-2,6-7,91-92,96-97,8.0,3500-4000,Naughty Dog,T
Zumba Fitness,Wii,2010,Sports,505 Games,3-4,2-3,0-1,0-1,6-7,,,,,"Pipeworks Software, Inc.",E
Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,3-4,2-3,0-1,1-2,6-7,93-94,43-44,8.0,500-1000,Infinity Ward,M
Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,3-4,2-3,0-1,0-1,6-7,95-96,104-105,9.0,5000-5500,Naughty Dog,T
FIFA 12,PS3,2011,Sports,Electronic Arts,0-1,4-5,0-1,1-2,6-7,,,,,,
Big Brain Academy,DS,2005,Misc,Nintendo,1-2,2-3,1-2,0-1,6-7,73-74,44-45,7.0,0-500,Nintendo,E
The Legend of Zelda,NES,1986,Action,Nintendo,3-4,0-1,1-2,0-1,6-7,,,,,,
Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,2-3,2-3,0-1,0-1,6-7,94-95,72-73,9.0,2000-2500,Rockstar San Diego,M
FIFA 14,PS3,2013,Sports,Electronic Arts,0-1,4-5,0-1,1-2,6-7,85-86,36-37,4.0,500-1000,EA Canada,E
Assassin's Creed III,PS3,2012,Action,Ubisoft,2-3,2-3,0-1,1-2,6-7,84-85,40-41,7.0,1000-1500,Ubisoft,M
Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,3-4,1-2,1-2,0-1,6-7,86-87,76-77,9.0,0-500,Retro Studios,E
Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios,4-5,1-2,0-1,0-1,6-7,96-97,67-68,9.0,1000-1500,Bungie Software,M
The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,2-3,2-3,0-1,0-1,6-7,91-92,15-16,6.0,2500-3000,Bethesda Game Studios,M
Pokémon Emerald Version,GBA,2004,Role-Playing,Nintendo,2-3,1-2,2-3,0-1,6-7,75-76,27-28,9.0,0-500,Game Freak,E
Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,3-4,1-2,1-2,0-1,6-7,84-85,45-46,9.0,500-1000,SquareSoft,E
Pokémon Crystal Version,GB,2000,Role-Playing,Nintendo,2-3,1-2,1-2,0-1,6-7,,,,,,
Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,4-5,1-2,0-1,0-1,6-7,82-83,93-94,7.0,1000-1500,"Bungie Software, Bungie",M
Red Dead Redemption,X360,2010,Action,Take-Two Interactive,3-4,1-2,0-1,0-1,6-7,94-95,95-96,9.0,2000-2500,Rockstar San Diego,M
Super Mario Sunshine,GC,2002,Platform,Nintendo,4-5,1-2,0-1,0-1,6-7,91-92,60-61,9.0,0-500,Nintendo,E
Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom,2-3,0-1,2-3,0-1,6-7,,,,,,
World of Warcraft,PC,2004,Role-Playing,Activision,0-1,6-7,0-1,0-1,6-7,92-93,56-57,7.0,2000-2500,Blizzard Entertainment,T
Driver,PS,1999,Action,GT Interactive,3-4,2-3,0-1,0-1,6-7,86-87,21-22,8.0,0-500,Reflections Interactive,T
Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,4-5,1-2,0-1,0-1,6-7,90-91,95-96,8.0,1500-2000,Epic Games,M
Kinect Sports,X360,2010,Sports,Microsoft Game Studios,3-4,1-2,0-1,0-1,6-7,72-73,50-51,7.0,0-500,Rare Ltd.,E10+
Gears of War,X360,2006,Shooter,Microsoft Game Studios,3-4,1-2,0-1,0-1,6-7,93-94,87-88,8.0,2000-2500,Epic Games,M
FIFA 15,PS4,2014,Sports,Electronic Arts,0-1,4-5,0-1,0-1,6-7,81-82,46-47,6.0,500-1000,EA Sports,E
Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment,2-3,2-3,0-1,0-1,6-7,95-96,41-42,9.0,1000-1500,KCEJ,M
Sonic the Hedgehog 2,GEN,1992,Platform,Sega,4-5,1-2,0-1,0-1,6-7,,,,,,
Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,3-4,1-2,0-1,0-1,6-7,93-94,19-20,9.0,500-1000,KCEJ,M
Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment,2-3,1-2,0-1,0-1,5-6,93-94,81-82,9.0,3500-4000,Kojima Productions,M
Final Fantasy XII,PS2,2006,Role-Playing,Square Enix,1-2,0-1,2-3,1-2,5-6,91-92,63-64,8.0,500-1000,Square Enix,T
The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,2-3,2-3,0-1,0-1,5-6,94-95,97-98,9.0,8000-8500,Naughty Dog,M
LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,2-3,1-2,0-1,0-1,5-6,94-95,84-85,7.0,5000-5500,"SCE/WWS, Media Molecule",E
Resident Evil 2,PS,1998,Action,Virgin Interactive,1-2,1-2,2-3,0-1,5-6,88-89,12-13,9.0,0-500,Capcom,M
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo,0-1,0-1,4-5,0-1,5-6,86-87,64-65,9.0,0-500,Level 5,E10+
Tekken 2,PS,1996,Fighting,Sony Computer Entertainment,2-3,1-2,1-2,0-1,5-6,88-89,7-8,9.0,0-500,Namco,T
Destiny,PS4,2014,Shooter,Activision,2-3,2-3,0-1,0-1,5-6,75-76,94-95,6.0,5000-5500,"Bungie Software, Bungie",T
LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,3-4,1-2,0-1,0-1,5-6,79-80,16-17,9.0,0-500,Traveller's Tales,E10+
Cooking Mama,DS,2006,Simulation,505 Games,3-4,1-2,0-1,0-1,5-6,66-67,34-35,7.0,0-500,Taito Corporation,E
Tetris,NES,1988,Puzzle,Nintendo,2-3,0-1,1-2,0-1,5-6,,,,,,
Super Smash Bros.,N64,1999,Fighting,Nintendo,2-3,0-1,1-2,0-1,5-6,,,,,,
Assassin's Creed II,PS3,2009,Action,Ubisoft,2-3,1-2,0-1,0-1,5-6,90-91,69-70,9.0,1000-1500,Ubisoft Montreal,M
Assassin's Creed,X360,2007,Adventure,Ubisoft,3-4,1-2,0-1,0-1,5-6,80-81,76-77,8.0,1000-1500,Ubisoft Montreal,M
Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios,2-3,1-2,0-1,0-1,5-6,91-92,89-90,8.0,500-1000,Turn 10,E
Super Mario Advance,GBA,2001,Platform,Nintendo,3-4,1-2,0-1,0-1,5-6,83-84,18-19,8.0,0-500,Nintendo,E
Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,0-1,0-1,4-5,0-1,5-6,80-81,47-48,9.0,0-500,Capcom,T
Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,2-3,1-2,0-1,0-1,5-6,95-96,41-42,9.0,2000-2500,Rocksteady Studios,T
Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive,2-3,2-3,0-1,0-1,5-6,96-97,13-14,8.0,500-1000,Rockstar North,M
Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo,2-3,1-2,0-1,0-1,5-6,92-93,23-24,8.0,0-500,Intelligent Systems,E
Super Mario World,GBA,2001,Platform,Nintendo,3-4,1-2,0-1,0-1,5-6,,,,,,
Pokemon Stadium,N64,1999,Strategy,Nintendo,3-4,1-2,0-1,0-1,5-6,,,,,,
Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Universal Interactive,2-3,2-3,0-1,0-1,5-6,65-66,21-22,7.0,0-500,Traveller's Tales,E
Call of Duty: World at War,PS3,2008,Shooter,Activision,2-3,1-2,0-1,0-1,5-6,84-85,44-45,8.0,0-500,Treyarch,M
Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,1-2,2-3,0-1,0-1,5-6,92-93,112-113,8.0,7000-7500,Naughty Dog,T
Dr. Mario,GB,1989,Puzzle,Nintendo,2-3,0-1,1-2,0-1,5-6,,,,,,
Final Fantasy XIII,PS3,2009,Role-Playing,Square Enix,1-2,1-2,1-2,0-1,5-6,82-83,82-83,7.0,2000-2500,Square Enix,T
Pokemon Pinball,GB,1999,Misc,Nintendo,3-4,1-2,1-2,0-1,5-6,,,,,,
Final Fantasy IX,PS,2000,Role-Playing,SquareSoft,1-2,0-1,2-3,0-1,5-6,93-94,21-22,9.0,500-1000,SquareSoft,T
Assassin's Creed III,X360,2012,Action,Ubisoft,3-4,1-2,0-1,0-1,5-6,83-84,60-61,7.0,1000-1500,Ubisoft,M
Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts,1-2,1-2,2-3,0-1,5-6,84-85,44-45,7.0,0-500,SquareSoft,T
Donkey Kong 64,N64,1999,Platform,Nintendo,3-4,0-1,1-2,0-1,5-6,,,,,,
Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,3-4,1-2,0-1,0-1,5-6,80-81,52-53,5.0,500-1000,Sledgehammer Games,M
Minecraft,PS3,2014,Misc,Sony Computer Entertainment,2-3,2-3,0-1,0-1,5-6,,,,,,
Assassin's Creed II,X360,2009,Action,Ubisoft,3-4,1-2,0-1,0-1,5-6,89-90,81-82,9.0,1000-1500,Ubisoft Montreal,M
Tomb Raider II,PS,1997,Action,Eidos Interactive,2-3,2-3,0-1,0-1,5-6,84-85,12-13,,,Core Design Ltd.,T
Madden NFL 2004,PS2,N/A,Sports,Electronic Arts,4-5,0-1,0-1,0-1,5-6,93-94,28-29,8.0,0-500,EA Tiburon,E
Tomodachi Life,3DS,2013,Simulation,Nintendo,0-1,2-3,1-2,0-1,5-6,,,,,,
New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,2-3,1-2,1-2,0-1,5-6,83-84,69-70,8.0,500-1000,Nintendo,E
Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,Square Enix,0-1,0-1,3-4,0-1,5-6,88-89,62-63,9.0,0-500,Level 5,T
Super Mario Bros. 3,GBA,2003,Platform,Nintendo,2-3,1-2,0-1,0-1,5-6,,,,,,
Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo,1-2,2-3,1-2,0-1,5-6,84-85,71-72,9.0,0-500,Level 5,E
Super Mario Land 3: Wario Land,GB,1994,Platform,Nintendo,2-3,0-1,1-2,0-1,5-6,,,,,,
FIFA Soccer 13,X360,2012,Action,Electronic Arts,1-2,3-4,0-1,0-1,5-6,89-90,47-48,6.0,0-500,Electronic Arts,E
Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,Nintendo,2-3,0-1,2-3,0-1,5-6,,,,,,
Diablo III,PC,2012,Role-Playing,Activision,2-3,2-3,0-1,0-1,5-6,87-88,85-86,4.0,9500-10000,Blizzard Entertainment,M
Medal of Honor: Rising Sun,PS2,2003,Shooter,Electronic Arts,1-2,2-3,0-1,0-1,5-6,67-68,29-30,8.0,0-500,EA LA,T
Kirby's Dream Land,GB,1992,Platform,Nintendo,2-3,0-1,1-2,0-1,5-6,,,,,,
